Amount of financial resources allocated to adaptation;;Climate Change
Existence and effectiveness of national and local coordination mechanisms on adaptation;;Climate Change
Number of climate change risk and vulnerability assessments (including national and local levels);;Climate Change
Number of conflicts over access to natural resources;;Climate Change
Proportion of sectoral policies and plans that incorporate analysis of risk and adaptation;;Climate Change
Proportion of staff working on adaptation with technical expertise in adaptation;;Climate Change
Allocation of property rights;;Climate Change
Annual growth (or percentage change) in household income from forest related activities;;Climate Change
Area of forest under sustainable forest management (hectares);;Climate Change
Business practices that promote products from legal and sustainable sources;;Climate Change
Change in Agro-Forestry (Bio-physical);;Climate Change
Change in Forest Area (Bio-physical);;Climate Change
Change in the area of natural forests/indigenous woodlands (Bio-phyiscal);;Climate Change
Employment in forestry related activities (full time equivalents);;Climate Change
Extent to which local rules and norms for harvesting exist and are enforced;;Climate Change
Extent to which rules on access and benefit sharing followed (Governance);;Climate Change
Growing stock per hectare (m3/ha);;Climate Change
Household income from forests/woodlands;;Climate Change
Mechanism for conflict resolution exists (Governance);;Climate Change
Mechanism to share concession/other revenue agreed (Governance);;Climate Change
National and local rules and norms for harvesting exist and are enforced;;Climate Change
Number of forest/woodland dependent jobs (Livelihoods);;Climate Change
Number of illegally issued timber contracts (Governance);;Climate Change
Percentage of communities aware of the activities of forestry services in their area;;Climate Change
Percentage of communities involved in sustainable forest management;;Climate Change
Percentage of communities planning to expand an area under sustainable forest management;;Climate Change
Proportion (percentage) of land covered by forest;;Climate Change
Proportion of total household income from forests/woodlands (Livelihoods);;Climate Change
Rules on access and benefit sharing followed;;Climate Change
Total household income from forests/woodlands (Livelihoods);;Climate Change
Total value of forest/woodland dependent jobs per annum.;;Climate Change
Value of forest/woodland dependent jobs (Livelihoods);;Climate Change
Value of illegally harvested timber confiscated (Governance);;Climate Change
Value of illegally issued timber contracts (Governance);;Climate Change
Value of Non Timber Forested Products;;Climate Change
Value of removals of wood and non wood products (selected currency);;Climate Change
Value of services from forests (selected currency);;Climate Change
Value of timber harvested;;Climate Change
Volume of illegally harvested timber confiscated (Governance);;Climate Change
Volume of timber harvested;;Climate Change
Existence and coverage of early warning for key hazards;;Climate Change
Existence of policy framework for risk reduction;;Climate Change
Number of disaster preparedness plans and contingency plans at all administrative levels and all organisations;;Climate Change
Percentage of school children who are aware of key risks from climate change;;Climate Change
Proportion of social protection programmes incorporating adaptation;;Climate Change
Gender equality: Percentage new jobs occupied by women;;Climate Change
High value job creation: Percentage of jobs created with a salary >40 Percent GDP per capita;;Climate Change
Access to communications: Percentage of remote households with access to mobile communications;;Climate Change
Access to energy: Percentage change in rural electrification;;Climate Change
Air quality: Particulates, NOx and SOx emissions (kg/MWh);;Climate Change
Breakdown of Energy exports;;Climate Change
Breakdown of energy imports and the costs of imports;;Climate Change
Electricity consumption per capita;;Climate Change
Electrification rate (Percentage of population with access to electricity);;Climate Change
Employment sector development: Percentage of total energy sector employment working in renewable energy;;Climate Change
Energy efficiency - GDP per unit of energy use (PPP, US$ per kg of oil equivalent);;Climate Change
Fresh water consumption: m3/MWh;;Climate Change
Greenhouse gas emissions: tCO2e/£m;;Climate Change
Greenhouse gas emissions: tCO2e/MWh;;Climate Change
Household expenditure: cost of electricity delivered £/MWh;;Climate Change
Indoor Air quality: % of dwellings meeting WHO indoor air quality guidelines;;Climate Change
Indoor Air Quality: Percentage of dwellings meeting WHO indoor air quality guidelines;;Climate Change
Level of Subsidies for fossil fuels;;Climate Change
Low Carbon economic growth as a proportion of total economic growth;;Climate Change
Number of households provided with new/improved access to basic electricity supply;;Climate Change
Percentage change in renewables on the grid;;Climate Change
Percentage change in rural electrification;;Climate Change
Percentage decrease in time spent sourcing fuel;;Climate Change
Percentage of average household income spent on energy;;Climate Change
Percentage of female headed households with access to electricity;;Climate Change
Percentage of households sourcing energy (e.g firewood) from sustainable sources;;Climate Change
Population without access to electricity;;Climate Change
Productive land take: productive land area used ha/MW;;Climate Change
Sectoral deployment of energy (Percentage of total energy used by economic sector);;Climate Change
Security of supply: change in annual hours of electricity supply interruption;;Climate Change
Supply chain development: Value of procurement orders placed within national supply chain;;Climate Change
Total job creation: Number of jobs created / MW;;Climate Change
Total land take: ha/MW;;Climate Change
Gender parity at higher education;;Education
Number of students enrolled in tertiary education per 100,000 inhabitants;;Education
Percentage distribution of graduates by fields of education at tertiary level by gender;;Education
Number of baselines or feasibility studies; monitoring plans; sector assessments; evaluations; special studies, or information gathering/research activities;;Education
Number of institutions with improved Management Information Systems, as a results of assistance by sub-sector (Pri/Sec);;Education
Number of local organisations provided with technical assistance for strategic information activities;;Education
Number of people trained in M&E; operational research, or other strategic information management by usb-sector (pri/sec), gender and geography;;Education
Proportion of institutions that have used MIS systems information to inform administration;;Education
Average ratio of students to classrooms;;Education
Latrines and water facilities constructed;;Education
Number of adult learning centres per 1000 adults;;Education
Number of classrooms constructed or rehabilitated;;Education
Number of parents /families under social safety net programmes;;Education
Number of schools meeting a specified adequate ratio of students to classrooms;;Education
Number of schools meeting adequate student/latrine ratio be gender;;Education
Number of schools per 1000 children within 2km radius;;Education
Percentage of schools meeting nationally defined standards for infrastructure provision;;Education
Percentage of schools with improved access to drinking water;;Education
Training facilities constructed and rehabilitated;;Education
Drop out rate by grade;;Education
Graduation/Completion rate by sub - sector (pri/sec/tert) and gender (with GPI);;Education
Gross Enrolment ratio (GER) by sub- sector (pri/ sec/tert/) , grade and gender;;Education
Gross Intake Ratio (GIR) in the first grade of primary;;Education
Gross Intake ratio in the last grade of Primary by gender- a proxy for completion rate;;Education
Net enrolment in primary education;;Education
Net Enrolment Rate (NER) by sub- sector (pri/ sec/tert/) , grade and gender (including GPI);;Education
Net Intake Rate (NIR) in the first grade of primary;;Education
Number of pupils benefiting from school feeding programs be gender, sub sector (pre-primary/pri/sec;;Education
Number of pupils enrolled in DFID supported primary schools or equivalent non-school based setting;;Education
Number of pupils receiving scholarships by gender, sub sector (pri/sec/tert);;Education
Over/Under Age enrolment ratio (Male/Female);;Education
Percentage of private enrolment;;Education
Repetition rate by sub sector (pri/sec/tert), grade and gender;;Education
School life expectancy (SLE);;Education
Survival rates by grade and gender (with GPI);;Education
Transition rate from pre-primary to primary by gender (with GPI);;Education
Transition rates primary to secondary by gender (with GPI);;Education
Number of textbooks (or TLMs) purchased and distributed;;Education
Percentage of PSA countries with minimum standardised assessments at early grades (FTI defined);;Education
Pupil:textbook ratio by sub sector (pri/sec), Geography;;Education
Number of Teachers trained;;Education
Percentage of female teachers by sub sector (pri/sec/tert) and geography;;Education
Percentage of teachers trained (pre-service or in-service);;Education
Percentage of unfilled teaching positions by geography;;Education
Pupil:teacher ratio (PTR);;Education
Ratio of teacher to teacher places;;Education
Teacher absenteeism (by geography);;Education
Teacher attrition rate through retirement, health, (HIV), alternative employment (to different sub sector, to private school) by age gender and subject expertise;;Education
Teacher education/Qualification (national measure), by sub sector (pri/sec/tert) and gender;;Education
Teacher: class ratio by sub sector (pri/sec/tert) and geography;;Education
Teachers trained in-service per year (number);;Education
Teachers trained pre-service to minimum qualifications and certifications requirements per year (number);;Education
Trained teacher to student ratio by sub sector (pri/sec/tert), subject (especially Science) and geography;;Education
Teacher teaching load in secondary;;Education
Annual percentage of rural household income from forest-related activities / employment in forest-related activities;;Environment
Annual percentage of rural household income from forest-related activities / employment in forest-related activities;;Environment
Area affected by salinization and water logging (ha);;Environment
Area affected by soil erosion (ha/year);;Environment
Area of land affected by desertification (ha);;Environment
Number of fish stocks under sustainable management;;Environment
Number of hectares under improved natural resource management practices as a result of DFID assistance;;Environment
Number of small-scale fishers (aquaculture?);;Environment
Percentage of poor people (lower quartile) with access to common property resources;;Environment
Pesticide and/or fertilizer consumption;;Environment
Quantity of wetland services and products used;;Environment
Levels of particulates (PM10) in the air in homes;;Environment
Average household consumption of firewood/ biomass fuel;;Environment
Community consultation/ community outreach by the industries;;Environment
Country compliance with the (DFID-supported) standards developed for extractive industries;;Environment
Emission standards for two and three wheelers;;Environment
Emissions of greenhouse gases;;Environment
Extent to which undertakings of remediation work are fulfilled;;Environment
National air quality standards based on WHO air quality guidelines;;Environment
Social Impact and Environmental Impact Assessment procedures;;Environment
Increased availability of environmental information / awareness of environmental sustainability;;Environment
Level of funding for environmental plan at national, district or local level.;;Environment
Number (%) of people receiving DFID-supported training in natural resources management (or improved agricultural/ fishing practices or biodiversity conservation);;Environment
Number of DFID-assisted civil society organizations (CSO) that engage in advocacy and/or watchdog functions relating to environmental sustainability (or that increase public participation in environmental decision-making);;Environment
Number of farmers and fishers (relevant others) who adopt improved agricultural/fishing practices (or otherwise take environmental sustainability into consideration in their daily activities?);;Environment
Number of government plans valuing natural resources assets and factoring values into national planning and budgeting processes;;Environment
Number of NGO/CSO environmental lobbying networks engaged in political influencing;;Environment
Number of policies, laws, International Agreements or regulations promoting sustainable natural resource management and conservation that are implemented as a result of DFID assistance;;Environment
Annual rural household income split between agricultural/ non-agricultural activity (percentage);;Environment
Changes in ecosystem integrity;;Environment
Changes in extent of ecosystems (forests, wetlands and mangroves etc);;Environment
Community participation in natural resource management / community-based natural resource management plans;;Environment
National Index of Biodiversity;;Environment
Number of national and local policies that support biodiversity conservation and natural resources management implemented (and enforced?);;Environment
Percentage change in women farmers with secure land tenure;;Environment
Percentage of areas under sustainable management;;Environment
Percentage of human induced ecosystem failure;;Environment
Proportion of goods and services derived from environmentally sustainable sources;;Environment
Proportion of people living in environmentally fragile areas (or Changes in occupation of communities resulting from environmental fragility);;Environment
Valuation of ecosystem services;;Environment
Biological/Chemical Oxygen Demand levels in rivers and lakes.;;Environment
Dissolved Oxygen;;Environment
Industrial & agricultural sources of water pollutants (can include the parameters: heavy metals, toxic chemicals, phosphorus, nitrogen, oil) (various units);;Environment
Number of Sanitary inspections;;Environment
Number of wastewater treatment plants;;Environment
Agricultural output from irrigation;;Environment
Decrease in major pollution events;;Environment
Effective environmental regulation in place and enforced;;Environment
Increased water security;;Environment
Number of joint projects (research, training, infrastructure) undertaken on waters shared by two or more countries;;Environment
Number of major water pollution events;;Environment
Number of transboundary watercourses managed through a ratified treaty;;Environment
Percentage increase in agricultural output from irrigation;;Environment
Percentage increase coverage in water resources monitoring networks;;Environment
Percentage increase in water stored and hydropower generated per capita by multilaterals receiving DFID support;;Environment
Percentage increase with watersheds with a management plan and committee;;Environment
Percentage of countries and transboundary basins implementing integrated water resources management and water efficiency plans;;Environment
Percentage of countries and transboundry basins implementing integrated water resources management plans;;Environment
Percentage of women with access to water for irrigation;;Environment
Percentage reduction in impacts from floods and droughts;;Environment
Percentage reduction in poverty from water resource management programmes;;Environment
Percentage women farmers with access to water for irrigation;;Environment
Political and media awareness of the need for improved water resources management;;Environment
Presence of cross-sectoral water committees in government.;;Environment
Percentage of farmers having knowledge of a specific technology being disseminated by extension system;;Food and Agriculture
percentage of farmers trying the specific technology advice from extension systems on their farms;;Food and Agriculture
Change (percentage) in yields of major crops of the country;;Food and Agriculture
percentage of small scale framers who know about crop production practices (in their farms);;Food and Agriculture
Percentage of total land are under permanent crops;;Food and Agriculture
Percentage of fishing communities in contact with a fisheries officer in the last month;;Food and Agriculture
Percentage of rural communities that constructed a fish pond in the last year;;Food and Agriculture
Water use per unit of aquaculture production;;Food and Agriculture
Annual growth (or percentage change) in household income from forest related activities;;Food and Agriculture
Area of forest under sustainable forest management (hectares);;Food and Agriculture
Employment in forestry related activities (full time equivalents);;Food and Agriculture
Growing stock per hectare (m3/ha);;Food and Agriculture
Percentage of communities aware of the activities of forestry services in their area;;Food and Agriculture
Percentage of communities involved in sustainable forest management;;Food and Agriculture
Percentage of communities planning to expand an area under sustainable forest management;;Food and Agriculture
Proportion (percentage) of land covered by forest;;Food and Agriculture
Rate of deforestation (percentage);;Food and Agriculture
Value of removals of wood and non wood products (selected currency);;Food and Agriculture
Value of services from forests (selected currency);;Food and Agriculture
Percentage change in number of formal land transactions (quarterly of yearly basis);;Food and Agriculture
Percentage of agricultural households that have legally recognised rights to land.;;Food and Agriculture
Percentage of land area for which there is a legally recognised form of land tenure.;;Food and Agriculture
Percentage of land area inventoried;;Food and Agriculture
Share (percentage) of land over which there are disputes;;Food and Agriculture
Annual growth (percentage) in value added in the livestock sector;;Food and Agriculture
Livestock birthrate;;Food and Agriculture
Percentage increase in yield per livestock unit;;Food and Agriculture
Percentage of livestock owners in contact with livestock officer in the last month;;Food and Agriculture
Percentage of livestock owners satisfied with the quality of livestock services;;Food and Agriculture
Percentage of livestock owners using vetenary services within the last month;;Food and Agriculture
Change (percentage) in soil loss from watersheds;;Food and Agriculture
Proportion (percentage) of land area formally established as protected area;;Food and Agriculture
Withdrawal of water for agriculture as a percentage of total freshwater withdrawal.;;Food and Agriculture
Percentage increase in number of local enterprises in rural area;;Food and Agriculture
Percentage of Bank branches that are located in rural areas;;Food and Agriculture
Percentage of rural population eligible to obtain a business loan;;Food and Agriculture
Percentage of rural population using financial services of formal banking institutions;;Food and Agriculture
Percentage of rural population using non bank financial services;;Food and Agriculture
Percentage of total savings that are mobilised from rural areas;;Food and Agriculture
Percentage of users satisfied with the banking services;;Food and Agriculture
Agricultural exports as a percentage of total value added in agriculture sector;;Food and Agriculture
Annual growth rate of household in rural areas from agricultural activity (percentage);;Food and Agriculture
Change (percentage) in unit cost of transportation of agricultural product;;Food and Agriculture
Food production Index;;Food and Agriculture
Percentage change in proportion of rural population below US$1 per day (Purchasing power parity) per day or below national poverty line;;Food and Agriculture
Percentage of rural labour force employed in agriculture;;Food and Agriculture
Prevalence (percentage) of underweight children under five years of age in rural areas;;Food and Agriculture
Producer price index for food items;;Food and Agriculture
Proportion of under-nourished population;;Food and Agriculture
Public spending on agricultural input subsidies as a percentage of total public spending on agriculture.;;Food and Agriculture
Public spending on agriculture as a percentage of GDP from the agriculture sector;;Food and Agriculture
Ratio (or proportion) of arable land area to total land area of the country;;Food and Agriculture
Rural poor as a proportion of the population;;Food and Agriculture
Improved government statistical capacity - Percentage of data on (X) collected by trained government staff;;Governance and Conflict
Number of disciplinary cases for violations of codes of conduct;;Governance and Conflict
Number of staff processed through objective systems (Effectiveness of recruitment/promotion/training systems);;Governance and Conflict
Number of targeted staff aware of civil service code;;Governance and Conflict
Percentage deadlines met (e.g salaries/budget);;Governance and Conflict
Percentage of complaints received and acted on by Ombudsman;;Governance and Conflict
Percentage of staff trained to do their jobs (admin mangement; policy development; financial management);;Governance and Conflict
Percentage of staff who understand how their role leads to frontline service delivery;;Governance and Conflict
Percentage of staff with no job description;;Governance and Conflict
Percentage senior staff strategic planning training;;Governance and Conflict
Percentage staff minority representation against national statistics;;Governance and Conflict
Ratio male:female staff;;Governance and Conflict
Ratio of Ghost workers: total staff;;Governance and Conflict
Ratio sector budget allocation: expenditure;;Governance and Conflict
Percentage of anti-corruption body staff trained;;Governance and Conflict
Percentage of appointments to anti-corruption body based on professional criteria;;Governance and Conflict
Percentage of cases investigated by anti-corruption body (domestic or international);;Governance and Conflict
Percentage of cases lead to persecution (domestic or international);;Governance and Conflict
Percentage of civil servants that comply with asset declaration mechanism;;Governance and Conflict
Percentage of national budget dedicated to anti-corruption body;;Governance and Conflict
Percentage of targeted citizens satisfied with anti-corruption body activity (Disaggregated);;Governance and Conflict
Percentage of targeted civil service staff that feel safe reporting a corruption case;;Governance and Conflict
Public access to agency information (Disaggregated);;Governance and Conflict
Legal frameworks in place (in accordance with international standards);;Governance and Conflict
Percentage of population aware of election;;Governance and Conflict
Percentage of election preparations completed on schedule;;Governance and Conflict
Percentage of electoral staff and observers trained (disaggregated) - Transparency of electoral systems;;Governance and Conflict
Percentage of observers trained;;Governance and Conflict
Percentage of people of voting age registered to vote - Participation equal (sex; ethnicity;marginlised);;Governance and Conflict
Percentage of population aware how to vote (disaggregate);;Governance and Conflict
Ratio national: international observers;;Governance and Conflict
Ratio observers: populations size;;Governance and Conflict
Number of NGOs (per 100,000 persons) involved in promotion/protection of right to (X);;Governance and Conflict
Percentage of (targeted) citizens access to (health;education; Security and Justice) services (Disaggregated);;Governance and Conflict
Percentage of citizens aware of right to access to basic services (disaggregated);;Governance and Conflict
Percentage of citizens believe HR body is improving human rights situation in their country (Disaggregated);;Governance and Conflict
Percentage of household budget spent on accessing health/education/watsan-Security and Justice services etc;;Governance and Conflict
Percentage of national budget targeting health/education/food security etc;;Governance and Conflict
Percentage of objectives delivered by human rights body (Level of accountability for service delivery);;Governance and Conflict
Percentage of reported cases of sexual violence responded to (by government);;Governance and Conflict
Percentage/number of Universal Review (UPR) recommendations implemented;;Governance and Conflict
Male: Female journalists at national media outlet;;Governance and Conflict
Percentage of citizens access to media (Disaggregate);;Governance and Conflict
Percentage of citizens satisfied with media quality (Disaggregate);;Governance and Conflict
Percentage of journalists understand their role/neutrality;;Governance and Conflict
Percentage of media coverage on corruption issues;;Governance and Conflict
Percentage of programming given to minority issues (including equality across political parties; gender);;Governance and Conflict
Parliamentary effectiveness - Percentage of citizens satisfied with parliamentary performance (disaggregated);;Governance and Conflict
Percentage of parliamentarians complying with asset declaration mechanisms;;Governance and Conflict
Percentage of parliamentarians trained in budget procedures, including scrutinising and monitoring;;Governance and Conflict
Percentage of Parliamentarians trained in what their role is and how to be effective (Disaggregate);;Governance and Conflict
Percentage of parliamentary committees technically trained (budget, public funds, service delivery, scrutiny);;Governance and Conflict
Percentage of seats in parliament/local government occupied by women/targeted groups;;Governance and Conflict
Number of policies communicated to general public;;Governance and Conflict
Percentage of citizens aware of right to join political parties;;Governance and Conflict
Percentage of parties with issue based manifesto;;Governance and Conflict
Percentage of women/targeted groups included in membership of national political parties (against national statistics);;Governance and Conflict
Proportion of political party accounts and committee level meeting minutes published ( within party/externally);;Governance and Conflict
Proportion of political party accounts publicly available;;Governance and Conflict
Proportion of political party membership given votes in internal decision making;;Governance and Conflict
Level of improvement of Public Expenditure Financial Accountability (PEFA) indicator.;;Governance and Conflict
Number of appeals investigated by relevant tender supervisory body;;Governance and Conflict
Percentage tenders published, including with clear conditions and criteria;;Governance and Conflict
Average numbers in prison cells (against international standards);;Governance and Conflict
Confidence in formal systems - Percentage of complaints on 'less serious' issues;;Governance and Conflict
Length of judgement/appeals processes;;Governance and Conflict
Length of pre-trial detention;;Governance and Conflict
Number of cases resolved using alternative dispute resolution mechanisms;;Governance and Conflict
Number of CSOs consulted on policy development;;Governance and Conflict
Numbers of rapes per capita prison population (disaggregate);;Governance and Conflict
Per capita military expenditure (or Percentage of GDP);;Governance and Conflict
Percentage of citizens satisfied with (formal/informal) S&J performance (disaggregate);;Governance and Conflict
Percentage of citizens who pay a bribe to access police/judicial services (disaggregate);;Governance and Conflict
Percentage of citizens who say they feel safe in their community (disaggregate);;Governance and Conflict
Percentage of citizens who say they have access to (formal/informal) court systems to resolve disputes (disaggregate);;Governance and Conflict
Prevalence of infectious disease/malnutrition in prison population (disaggregate);;Governance and Conflict
Ratio of military personnel: population size.;;Governance and Conflict
Cost of setting up a business;;Governance and Conflict
Length of time to set up a business;;Governance and Conflict
Level of uniformity of tax collection;;Governance and Conflict
Levels of public access to tax information;;Governance and Conflict
Percentage of business paying bribes to avoid taxation;;Governance and Conflict
Percentage of business satisfaction with tax system;;Governance and Conflict
Percentage of citizens aware of importance of taxation;;Governance and Conflict
Percentage of tax authority staff trained;;Governance and Conflict
Tax laws non-discriminatory;;Governance and Conflict
Legal protection for Civil Society Organisations (CSOs);;Governance and Conflict
Number of Cvil Society Organisations reporting intimidation for pursuing their activities;;Governance and Conflict
Percentage of citizens (and/ or CSOs) satisfied their voice is heard by formal institutions (Disaggregate);;Governance and Conflict
Percentage of citizens reporting awareness (Awareness of rights/impact of corruption);;Governance and Conflict
Percentage of citizens satisfied with Civil Society Organisations performance (Disaggregate);;Governance and Conflict
Percentage of CSO staff understand their role/ are trained;;Governance and Conflict
Percentage of CSO staff understand their role/ are trained.;;Governance and Conflict
Percentage of public service information publicly displayed;;Governance and Conflict
Median affordability of the lowest priced generic for a basket of drugs in public facilities (Percentage);;Health
Median affordability of the originator brand for a basket of drugs in private facilities (Percentage);;Health
Median affordability of the originator brand for a basket of drugs in public facilities (Percentage);;Health
Median availability of the lowest priced generic for a basket of drugs in private facilities (Percentage);;Health
Median availability of the lowest priced generic for a basket of drugs in public facilities (Percentage);;Health
Median availability of the originator brand for a basket of drugs in private facilities (Percentage);;Health
Median availability of the originator brand for a basket of drugs in public facilities (Percentage);;Health
Median affordability of the lowest priced generic for a basket of drugs in private facilities (Percentage);;Health
Number of medicines prescribed per patient contact in public health facilities (mean) (Number);;Health
Number of medicines tested for post marketing surveillance;;Health
Percentage of drugs prescribed that are in the essential medicines list;;Health
Percentage of tracer cases treated according to standard treatment protocol or guideline;;Health
Rate of generic prescribing as proportion of all prescriptions;;Health
Payments in facilities that are due to have removed user fees (Percentage paying nothing, mean payment);;Health
Percentage of households who spent more than 10% of household expenditure (or income) on health in the past year, by income group;;Health
Absenteeism - Percentage of staff present on day of spot check by cadre, level of care;;Health
Health specific Country Policy and Institutional Assessment (CPIA) score;;Health
Proportion of health facility budgets reaching facility level;;Health
Number of Health professionals trained;;Health
Number of health professionals/workers trained by project;;Health
Number of health workers recruited to rural primary health units compared to plan;;Health
Number of health workers trained under project/programme activities;;Health
Stock outs of essential drugs in government facilities;;Health
Level of user fees charged at targeted health centres;;Health
Coverage of measles vaccination (6 months -15 years);;Health
Number of consultations per clinician , per day, by admin. Unit;;Health
Number of outpatient consultations per person , per year by administrative unit;;Health
Percentage of births assisted by a skilled attendant;;Health
Proportion of births attended by skilled health personnel;;Health
HIV Prevalence for relevant surveillance populations published within 12 months;;Health
National plan for health related surveys is in place and implemented;;Health
Percentage of districts reporting timely and complete data at national level;;Health
Children under 5 with fever in the last 2 weeks who received any anti-malarial treatment (by sex);;Health
Deaths due to malaria (per 100 000 population);;Health
No of households sprayed (annual), total or funded by DFID;;Health
Number of insecticide treated bed nets distributed;;Health
Percentage of children under 5 who slept under an ITN the previous night (total, by socioeconomic group,sex);;Health
Percentage of children under 5 with fever in the last 2 weeks who had a finger of heel stick (diagnostic test);;Health
Percentage of children under 5 with fever in the last 2 weeks who received anti-malarial treatment within 24 hours (total, by socio-economic group);;Health
Percentage of households with at least one insecticide treated net (ITN) (and by socio economic group);;Health
Percentage of households with at least one ITN or sprayed with Indoor Residual Spraying in the last 12 months;;Health
Percentage of pregnant women who slept under an ITN the previous night (total and by socio-economic group);;Health
Laboratory has capability to perform microscopy, ELISA and PCR assays for NTD diagnostics;;Health
Number of people treated under MDA (or those funded by DFID) in 12 months;;Health
Proportion of areas for which mapping has been completed for each NTD.;;Health
Consumption of iron-rich or iron-fortified foods;;Health
Continued breastfeeding at 1 year;;Health
Early initiation of breastfeeding;;Health
Exclusive breastfeeding under 6 months;;Health
FANTA Household Hunger Scale hunger score;;Health
Introduction of solid, semi-solid or soft foods;;Health
Minimum accepted diet;;Health
Minimum Dietary Diversity;;Health
Minimum meal frequency;;Health
Percentage children aged 6-59 months given deworming in the past 6 months by sex;;Health
Percentage children aged 6-59 months given iron supplements in the past 7 days by sex;;Health
Percentage children aged 6-59 months given Vitamin A supplements in the last 6 months by sex;;Health
Proportion of population below minimum level of dietary energy consumption;;Health
Births attended by skilled health personnel (Percentage distribution, by income etc);;Health
Births occurred in health facilities (Percentage, by income group etc);;Health
Caesarean sections as percentage of all live births;;Health
Contraceptive prevalence rate;;Health
Coverage of tetanus vaccination during pregnancy (Percentage of pregnant women with TT2 vaccination);;Health
