Amount of financial resources allocated to adaptation;;Climate Change
Health providers trained to detect signs of sexual abuse or violence;;Health
Health providers trained to provide safe abortion services to the full extent of the law (no., distribution);;Health
HIV prevalence in pregnant women;;Health
Incidence of neonatal tetanus;;Health
No. of Emergency Obstetric Care (EmOC) facilities per 500 000 population and no. offering comprehensive care;;Health
Number of facilities offering safe abortion services per 500 000 population;;Health
Number of family planning service delivery points per 500 000 population;;Health
Obstetric and gynaecological admissions owing to abortion (or rate per 1000 women);;Health
Percentage of Population living within one hour of travel time to EmOC facility;;Health
Percentage of pregnant women tested for anaemia (as component of basic antenatal care package);;Health
Positive syphilis serology prevalence in pregnant women attending antenatal care;;Health
Primary health-care facilities providing comprehensive case-management for symptomatic STIs;;Health
Service delivery points providing medical, psychological, and other services and referral for women with FGM;;Health
Women attended at least one and four times for antenatal care during pregnancy (Percentage, by income);;Health
Among adults with a recent health visit, Percentage who stated that their provider showed respect to them;;Health
Among adults with recent health visit, Percentage who state that their provider explained things clearly;;Health
Case fatality rate for specific diseases (e.g. Measles, diarrhoea), for deliveries;;Health
Increase in number of people with access to a basic package of health services;;Health
Number and distribution of facilities with capacity to offer basic delivery care by region;;Health
Number and distribution of facilities with capacity to offer Emergency Obstetric care;;Health
Number of facilities offering PMTCT;;Health
Number of outpatient visits per capita per year;;Health
Percentage of facilities that meet basic standards for staffing, equipment, amenities, drugs and supplies;;Health
Percentage of facilities with accurate data for inventory management, safe storage conditions, stock within expiry date and older stock used first.;;Health
Percentage of facilities with supervisory visit in the last 3 months;;Health
Percentage of patient contacts where the health worker followed specific protocols (e.g. IMCI, STI treatment, VCT);;Health
Percentage of population living within 5 km of a health facility (by region, public & non-state facilities);;Health
Percentage of population living within 5 km of a health facility that meets minimum standards;;Health
Percentage of workers who know hand hygiene rules;;Health
Case detection of HIV + patients as a percentage of estimated TB cases that are HIV +;;Health
Case detection rate of smear positive MDR-TB patients.;;Health
Case detection rate: no. of new smear-positive case reported in the year as percentage of estimated cases;;Health
Default rate in TB treatment for new smear positive patients;;Health
DTP3 vaccination coverage - Percentage of 1-year olds vaccinated with the third dose of DPT vaccine by sex;;Health
Lab confirmed MDR TB cases successfully treated as a percentage of all cases on second line treatment;;Health
Number of TB facilities where free condom distribution is practiced and condoms are available, expressed as a proportion of all TB facilities.;;Health
Number or Percentage of districts with DPT 3 coverage over 80%;;Health
Number or Percentage of new smear positive patients managed by non-state providers under DOTS.;;Health
Output: Incidence of tuberculosis (per 100 000 population per year);;Health
Percentage of TB patients who had an HIV test result recorded in the TB register.;;Health
Reporting units reporting no stock out of first line anti-TB drugs on the last day of the quarter among all reporting units (number and percentage);;Health
TB treatment success rate under DOTS for new smear positive TB patients as % of all new cases;;Health
Number of 1 year-old children immunised against measles;;Health
Number of people with advanced HIV infection receiving ARVs;;HIV and AIDS
Percentage of adults and children with HIV known to be on treatment after 12 months after initiation of antiretroviral therapy;;HIV and AIDS
Percentage of facilities providing ARV that had a stock out of at least one ARV drug in the last 12 months;;HIV and AIDS
Health facilities with drugs for opportunistic infections and palliative care in stock;;HIV and AIDS
Households receiving help in caring for chronically ill young adults, by gender of adult;;HIV and AIDS
No. of HIV positive people currently receiving cotrimoxazole prophylaxis by gender, age group;;HIV and AIDS
Number and % of PLWHA who tested positive who received counselling for positive prevention;;HIV and AIDS
Number of HIV-positive women assessed for CD4 cell count;;HIV and AIDS
Number of HIV-positive women receiving ARV treatment for own health;;HIV and AIDS
Number of individuals trained in HIV-related stigma and discrimination reduction;;HIV and AIDS
Number of legal and social support services for women care-givers and victims of sexual violence;;HIV and AIDS
Service delivery points providing medical, psychological and legal support to victims of rape or sexual abuse;;HIV and AIDS
Condom use among commercial sex workers with last client;;HIV and AIDS
Percentage of female sex workers reporting the use of a condom with every client in the last month;;HIV and AIDS
Percentage of sex workers reached with HIV prevention programmes in the last 12 months;;HIV and AIDS
Antenatal clinics offering or referring for VCT;;HIV and AIDS
Contraception prevalence rate;;HIV and AIDS
HIV services offering or referring for family planning;;HIV and AIDS
Intensified TB case-finding among PLWHA;;HIV and AIDS
Number and % of Ante Natal Care facilities which provide PMTCT, public and private, by district;;HIV and AIDS
Number and % of health care workers newly trained or retrained in basic HIV prevention package;;HIV and AIDS
Number and percentage of health care workers newly trained or retrained;;HIV and AIDS
Number of health facilities that offer ARV therapy (by level, region, public/private, DFID supported).;;HIV and AIDS
Percentage of adults and children enrolled in HIV care who had TB status assessed at last visit;;HIV and AIDS
Percentage of adults and children newly enrolled in HIV care who had TB status assessed and recorded during their last visit;;HIV and AIDS
Percentage of clients that attend public antenatal clinics which offer or refer for VCT;;HIV and AIDS
Percentage of estimated HIV-positive incident TB cases that received treatment for TB and HIV;;HIV and AIDS
Percentage of health facilities that offer ARV therapy;;HIV and AIDS
Percentage of health facilities that provide HIV testing and counselling services;;HIV and AIDS
Unmet need for family planning;;HIV and AIDS
Drug injectors using condoms at last sex, by partner type;;HIV and AIDS
Injecting drug users using sterile equipment at last time they injected;;HIV and AIDS
Number of needle and syringe programme sites per 1000 IDUs;;HIV and AIDS
Number of opioid substitution therapy sites per 1000 IDUs;;HIV and AIDS
% of adults aged 15-49 who had more than one sexual partner in the past 12 months who report the use of a condom during their last intercourse;;HIV and AIDS
Percentage of adults aged 15-49 who had more than one sexual partner in the past 12 months who report the use of a condom during their last intercourse;;HIV and AIDS
Percentage of most-at-risk populations who both correctly identify ways of preventing the sexual transmission of HIV and who reject major misconceptions about HIV transmission by risk group;;HIV and AIDS
Percentage of young women and men aged 15-24 who both correctly identify ways of preventing the sexual transmission of HIV and who reject major misconceptions about HIV transmission by sex;;HIV and AIDS
Percentage of young women and men who have had sexual intercourse before the age of 15 by sex;;HIV and AIDS
Condom use during anal sex among young men who have sex with men;;HIV and AIDS
Knowledge of HIV prevention among men having sex with men;;HIV and AIDS
Percentage of men reporting the use of a condom the last time they had anal sex with a male partner;;HIV and AIDS
Percentage of MSM reached with HIV prevention programmes in the last 12 months;;HIV and AIDS
Number of orphans and vulnerable children (OVC) served by an OVC program, disaggregated by sex;;HIV and AIDS
Percentage of children aged less than 15 years who are orphans (UNGASS 2005);;HIV and AIDS
Percentage of children living outside of family care;;HIV and AIDS
Percentage of children who are vulnerable;;HIV and AIDS
Percentage of orphans and vulnerable children whose households received free basic external support in caring for the child;;HIV and AIDS
The (a) number and (b) percentage of districts with functioning social welfare departments providing grants to orphans and other vulnerable children;;HIV and AIDS
HIV prevalence among 15-49 year olds;;HIV and AIDS
Condom use among young people who had higher-risk sex in the preceding year by gender, urban/rural;;HIV and AIDS
Drug supply at STI care services - measure of stock outs.;;HIV and AIDS
Life-skills-based HIV education in schools within last academic year (primary, secondary);;HIV and AIDS
Number of condoms distributed;;HIV and AIDS
Number of individuals who aged 15 and over who received HIV testing and counselling and know their results;;HIV and AIDS
Number of male and female condoms distributed in public and private sector;;HIV and AIDS
Percentage of districts with at least one specialised voluntary counselling and testing (VCT) service;;HIV and AIDS
Percentage of donated blood units screened for HIV in a quality assured manner;;HIV and AIDS
Percentage of health care facilities where all therapeutic injections are given with new, disposable, single-use injection equipment;;HIV and AIDS
Percentage of health facilities with post-exposure prophilaxis (PEP) services available on site;;HIV and AIDS
Percentage of most-at-risk populations reached with HIV prevention programmes by risk group;;HIV and AIDS
Percentage of most-at-risk populations that have received an HIV test in the last 12 months and who know the results;;HIV and AIDS
Percentage of women and men aged 15–49 who received HIV testing and counselling and know the results;;HIV and AIDS
Distribution of feeding practices (exclusive breast feeding, replacement feeding, mixed feeding/other) for infants born to HIV-infected women at 3 months;;HIV and AIDS
HIV-exposed infants seen within 2 months of birth for check-up (number and percentage);;HIV and AIDS
Percentage of HIV infected pregnant women who receive antiretrovirals to reduce the risk of MCT;;HIV and AIDS
Percentage of HIV-infected pregnant women who receive ARV for their own health;;HIV and AIDS
Percentage of infants born to HIV-infected women receiving any ARV prophilaxis for PMTCT;;HIV and AIDS
Percentage of infants born to HIV-infected women started on cotrimoxazole prophylaxis within two months of birth;;HIV and AIDS
Percentage of infants born to HIV-infected women who receive an HIV test within 12 months;;HIV and AIDS
Increased household livestock yield (meat, eggs, milk) or cash generated from livestock sales;;Humanitarian
Kilograms of fish captured and/or produced/harvested;;Humanitarian
Measurable improvements in food security obtained by households benefiting from agricultural inputs and/or services;;Humanitarian
Measurable improvements to harvesting and storage of crops;;Humanitarian
No. of hectares benefiting from agricultural improvements (fertilizers, irrigation, conservation);;Humanitarian
No. of households assisted by fishery programmes;;Humanitarian
No. of households assisted with agricultural services;;Humanitarian
No. of households assisted with livestock inputs and services;;Humanitarian
No. of newly cultivated hectares as a direct result of agricultural assistance programmes;;Humanitarian
Post harvest loss reduced through improved harvesting and storage of crops;;Humanitarian
Tonnage of crops produced as a direct result of agricultural input programmes;;Humanitarian
Affected displaced populations are afforded appropriate protection in accordance with protection principles (e.g guilding principles on Internal Displacement, Human Rights Law, International Humanitarian Law);;Humanitarian
Appropriate physical environment and camp design to ensure cultural norms and personal/camp security while upholding human rights (e.g. freedom of movement);;Humanitarian
Camp designed and positioned to allow safe access to sustainable resources and livelihoods;;Humanitarian
Camp management, design and exit strategy produced outlining potential short and long term scenarios (based on principles of do no harm);;Humanitarian
Minimum surface area per person provided in camp (in line with international standards;;Humanitarian
Number of established and recognised mechanisms for redressing issues and grievances;;Humanitarian
Number of inclusive camp committees established representing the camp population, including vulnerable groups;;Humanitarian
Number of mechanisms in place to control communicable and incommunicable diseases;;Humanitarian
Number of reports of cases of conflict with the affected community, the outside and within the host community;;Humanitarian
Proportion of camp population able to access essential food and non-food items and services in line with international standards;;Humanitarian
Proportion of camp population people able to access legal assistance;;Humanitarian
Proportion of camp population registered with appropriate verification measures in place;;Humanitarian
Adequate quantity of aid and services;;Humanitarian
Amount and types of resources available and used for inter-cluster coordination;;Humanitarian
Establishment and usage of accessible IM tools and products across all clusters;;Humanitarian
HC appointed from HC pool within 3 days;;Humanitarian
Inclusion of cross cutting issues (i.e. protection, early recovery DRR etc) in all technical strategic outputs;;Humanitarian
Information Manager appointed for cluster(s) within 7 days;;Humanitarian
Number of agencies participating in cluster meetings;;Humanitarian
Number of clusters activated and dedicated leads appointed within 3 days (adhereing to ToR);;Humanitarian
Number of countries in which a prioritisation tool is being used;;Humanitarian
Number of countries in which joint needs assessments are carried out;;Humanitarian
Number of dedicated emergency staff mobilised for i) immediate and ii) longer term phases;;Humanitarian
Number of donors financing the pooled fund;;Humanitarian
Number of Humanitarian Country Team meetings;;Humanitarian
Number of local NGOs and CBOs participating in clusters;;Humanitarian
Number of national and local authorities participating in clusters;;Humanitarian
Numbers of clusters having sectoral strategic plans;;Humanitarian
OCHA field vacancy rate;;Humanitarian
Percentage of HCs engaging in performance management process;;Humanitarian
Quality provision of aid and services;;Humanitarian
Technical standards defined by cluster and agreed by cluster members within X days;;Humanitarian
Timely provision of aids and services;;Humanitarian
A national multi-sectoral platform for disaster preparedness/ DRR is functioning.;;Humanitarian
Country wide public awareness strategy exists to stimulate a culture of disaster resilience, with outreach to urban and rural communities.;;Humanitarian
Disaster preparedness plans and contingency plans are in place at all administrative levels, and regular training drills and rehearsals are held to test and develop disaster response programmes.;;Humanitarian
Early warning systems are in place for all major hazards, with outreach to communities.;;Humanitarian
Increase individual household knowledge and skills in disaster preparedness and mitigation, through incorporating risk management concepts in formal and informal education;;Humanitarian
National and local risk assessment based on hazard data and vulnerability information are available and include risk assessments for key sectors.;;Humanitarian
National institutional and legal frameworks for disaster risk management exist with decentralised responsibilities and capacities at all levels.;;Humanitarian
Number and percent of beneficiaries retaining disaster preparedness, mitigation, and management knowledge two months after training;;Humanitarian
Number of community awareness raising workshops carried out by district government/ NGO.;;Humanitarian
Number of hazard risk reduction plans, policies or curriculum developed;;Humanitarian
Number of households/ proportion of households with increased knowledge and skills in disaster preparedness and response;;Humanitarian
Number of hydro-meteorological policies/procedures modified as a result of the activities to increase preparedness for hydro-meteorological events;;Humanitarian
Number of people trained in disaster preparedness, mitigation, and management;;Humanitarian
Relevant information on disasters is available and accessible at all levels, to all stakeholders.;;Humanitarian
School curricula, education material and relevant trainings include disaster preparedness, risk reduction and recovery concepts and practices.;;Humanitarian
Access rights agreed with host community regarding existing natural resources, such as fuel, water, timber for construction, stone and sand, grasses;;Humanitarian
Activities undertaken to protect natural resource-dependent livelihood support activities;;Humanitarian
Agricultural or grazing land planned to minimise any adverse impact on the local natural habitat;;Humanitarian
An environmental assessment made of natural resource availability and fragility, typical land usage, the distribution of existing vegetation and surface water drainage patterns;;Humanitarian
Appropriate environmental rehabilitation measures undertaken during the life of the temporary settlement;;Humanitarian
Environmental restoration of the locations of mass shelters or temporary planned camps, unless agreed otherwise, once they are no longer needed for emergency shelter use;;Humanitarian
Natural resources are sustainably managed to meet the ongoing needs of the displaced and host populations;;Humanitarian
Number of small settlements;;Humanitarian
Roads, pathways and drainage networks planned to make use of natural contours in order to minimise erosion and flooding;;Humanitarian
Satisfactory removal of all material or waste that cannot be re-used or that could have an adverse effect on the environment;;Humanitarian
Sustainable external supplies of fuel provided;;Humanitarian
The production and supply of construction material and the building process minimises the long-term depletion of natural resources;;Humanitarian
The temporary or permanent settling of the affected population considers the extent of the natural resources available;;Humanitarian
Trees and other vegetation are retained where possible to increase water retention, minimise soil erosion and to provide shade;;Humanitarian
% of breastfed children aged 6-24 months who receive food from at least 4 food groups each day;;Humanitarian
% of children 0-59 months with low weight for height, wasting) (moderate, severe and total) or nutritional oedema;;Humanitarian
% of children aged 0-6 months who are exclusively breastfed;;Humanitarian
% of children aged 6-9 months who are fed at least twice per day, and % of children aged 9-24 months who are fed at least 3 times per day;;Humanitarian
% of children treated for severe acute malnutrition who default;;Humanitarian
% of children treated for severe acute malnutrition who die;;Humanitarian
% of children treated for severe acute malnutrition who recover;;Humanitarian
% of children under five with severe acute malnutrition (moderate and severe) receiving treatment;;Humanitarian
All targeted households (of a food assistance programme) have access to the necessary inputs to protect and restart primary production to the level of pre-disaster, when justified, and in accordance with the agricultural calendar;;Humanitarian
All targeted households are given cash or vouchers, where it is considered (or assessed) to be operationally viable, at market value of required inputs, giving households the absolute choice on livelihoods options;;Humanitarian
All targeted people (in a food assistance programme) get responses ensuring their primary needs, preventing erosion of their assets, giving them choice and promoting their dignity - throughout project implementation;;Humanitarian
All targeted populations have safe and full access to market goods, services and systems throughout the project duration;;Humanitarian
All targeted populations meet some or all their basic food needs and other livelihood needs (e.g., productive assets, health, education, transportation, shelter, transport) through purchase from the local markets;;Humanitarian
Caregivers of infants and young children have access to timely and appropriate, nutritionally and safe complementary foods (6 months);;Humanitarian
Change (%) in yield of staple crops in country/ region/ district;;Humanitarian
Food aid recipients receive food that is “fit for purpose”: for safety, food should not pose a risk to health; for quality, food should match specification and be nutritious;;Humanitarian
Food purchased locally, as % of food distributed in-country;;Humanitarian
Household food consumption score;;Humanitarian
Market price trend of livestock/ grain ratio;;Humanitarian
Mean weight gain of children being treated for severe acute malnutrition;;Humanitarian
More than 90% of the target population is within <1 day’s return walk (including time for treatment) of the site for dry ration supplementary feeding programmes and no more than 1 hour’s walk for on-site supplementary feeding programmes;;Humanitarian
Number of people assisted by food assistance, food or cash transfer programme or food security programmes;;Humanitarian
Number of: cattle distributed; certified quality seeds produced; trained people in agriculture; tonnes of food distributed;;Humanitarian
Prevalence of acute malnutrition among children under 5 (weight for height as a %);;Humanitarian
Prevalence of low mid-upper arm circumference (MUAC);;Humanitarian
Proportion (%) of h/h expenditure on food;;Humanitarian
There is access to a range of foods – including a staple (cereal or tuber), pulses (or animal products) and fat sources – that together meet nutritional requirements;;Humanitarian
CFR for most common diseases;;Humanitarian
Coverage of tetanus vaccination during pregnancy percentage of pregnant women with TT2 vaccination);;Humanitarian
Crude mortality rate;;Humanitarian
Health workers trained to detect signs of sexual abuse or violence;;Humanitarian
Number of cases or incidence of sexual violence;;Humanitarian
Number of emergency obstetric care facilities per 500,000 of the population and number offering comprehensive care;;Humanitarian
Number of family planning service delivery providers providing at least three methods of FP;;Humanitarian
Number of households sprayed/insecticide treated bed nets distributed;;Humanitarian
Number of people with access to a basic package of health services;;Humanitarian
Percentage of population with severe difficulties in functioning;;Humanitarian
Proportion of people with <15 litres of water per day;;Humanitarian
Proportional mortality;;Humanitarian
Under 5 mortality rate;;Humanitarian
Annual cost of warehousing;;Humanitarian
Cost per tonne of transport by air (annual average);;Humanitarian
Cost per tonne of transport by road (annual average);;Humanitarian
Cost per tonne of transport by sea (annual average);;Humanitarian
Number of consignments able to be tracked through to beneficary;;Humanitarian
Number of contracts adhering to approved procedures;;Humanitarian
Number of contracts fulfilled on schedule;;Humanitarian
Number of contracts showing consideration for CSR issues;;Humanitarian
Number of contracts with definable evaluation criteria;;Humanitarian
Number of contracts with inspection clauses;;Humanitarian
Number of deliveries not made according to time forecast;;Humanitarian
Number of items held in dedicated warehouse space;;Humanitarian
Number of items held in shared humanitarian warehouses;;Humanitarian
Number of Procurement contracts issued not meeting internationally agreed quality standards;;Humanitarian
Percentage change in costs of warehousing (pro rata, depending on volume and value held;;Humanitarian
Percentage change in value of stocks held but not used in one calendar year;;Humanitarian
Percentage change in value of stocks held. Disaggregate between shared and dedicated warehouse space;;Humanitarian
Percentage improvement in cost/tonne ratio - air transport;;Humanitarian
Percentage improvement in cost/tonne ratio - road transport;;Humanitarian
Percentage improvement in cost/tonne ratio - sea transport;;Humanitarian
Percentage improvement in deliveries on time;;Humanitarian
Percentage improvement in time taken for stocks to leave the premises. Disggregated between shared and wholly dedicated warehouses;;Humanitarian
Percentage increase in acceptable procurement contracts;;Humanitarian
Percentage increase in consignments delivered through common systems;;Humanitarian
Percentage increase in number of consignments able to be fully tracked;;Humanitarian
Percentage increase in number of contracts adhering to approved procedures;;Humanitarian
Percentage increase in number of contracts with definable evaluation criteria;;Humanitarian
Percentage increase in number of contracts with inspection clauses;;Humanitarian
Percentage increase in number of cotnracts fulfilled on schedule;;Humanitarian
Percentage of commdities delivered through consolidated / common systems;;Humanitarian
Percentage reduction in time goods await onward movement form 1st port of entry;;Humanitarian
Time taken for the first element of a consignment to leave the premises. Disggregated between shared and wholly dedicated warehouses;;Humanitarian
Time taken to move consignments forward from 1st port of entry;;Humanitarian
% of population that has received updated information regarding relief activities;;Humanitarian
% of the displaced population who return voluntarily, safely and in dignity;;Humanitarian
% of the women and men who recognise the threats of sexual violence and know how to limit the risks;;Humanitarian
%/number of population enabled to resume normal way of life due to reduced risk of exposure to mines and unexploded ordinances;;Humanitarian
Assistance and protection are delivered in a neutral, impartial and proportional manner;;Humanitarian
Authorities adopt steps to address the causes of displacement;;Humanitarian
Evidence that IHL dissemination is now underway in the targeted group and is;;Humanitarian
Level of unimpeded access to international/national humanitarian organisations to all those people affected;;Humanitarian
Number and % of target population reporting increased access to GBV based services;;Humanitarian
Number and types of security incidents reported by women and men (e.g. sexual assault, bombings, child soldiers, arbitariry detention etc.);;Humanitarian
Number of civilians estimated killed, maimed and injured by violence;;Humanitarian
Number of reports of sexual violence per x number of men and women;;Humanitarian
Numbers of policies/procedures/practices modified in accordance with protection principles (e.g., Guiding Principles on Internal Displacement; Human Rights Law; International Humanitarian Law);;Humanitarian
Perception of the affected population regarding information provision;;Humanitarian
Reduced sense of fear, growing sense of safety, recovered dignity;;Humanitarian
There is a functioning system to issue registration documents to all affected population;;Humanitarian
A shelter, settlement and reconstruction plan (with explicit targets and timeframes) for all shelter-affected displaced and non-displaced updated regularly by the affected population, humanitarian, developmental and governmental stakeholders.;;Humanitarian
An understanding is maintained of the economic context (livelihoods and the construction industry) and the impacts to both of shelter;;Humanitarian
Assistance is offered in the most efficient and sustainable manner avoiding harm to livelihoods and recovery capacities.;;Humanitarian
Capacities and resources from all stakeholders are coordinated and agreed objectives are met, ensuring the security, safety, health and well-being of displaced and non-displaced.;;Humanitarian
Equitable recovery is achieved through housing for the tenant and owner affected population where housing, land and property ownership, and/or use, rights are clarified prior to occupation.;;Humanitarian
Equitable shelter relief, recovery and reconstruction is achieved for the shelter-affected population.;;Humanitarian
Return, host or temporary communal settlements have safe and secure accommodation and access to services and opportunities including daily livelihood activities.;;Humanitarian
Settled disaster-affected households where the material sourcing and construction techniques minimises the adverse impact on the environment via coordinated and prioritised environmental activities;;Humanitarian
Shelter and housing are constructed safely and efficiently, appropriate to culture and climate including sufficient covered living space, thermal comfort (safe and sustainable heating as required), ..;;Humanitarian
The displaced shelter-affected population have somewhere to live and sufficient individual, general household, personal hygiene and shelter support items to ensure their health, dignity, safety and well-being;;Humanitarian
The proportion of shelter and settlement for displaced and non-displaced that meets established technical, durability, safety and planning standards for shelter products, materials, construction and settlement planning.;;Humanitarian
The proportion of shelter responses which meet defined environmental targets;;Humanitarian
The proportion of the displaced shelter-affected population that has safe and adequate shelter and settlement responses, including appropriate and durable NFIs throughout the emergency and recovery period;;Humanitarian
The proportion of the non-displaced shelter-affected population, both tenants and owners, with housing that is safe, legal, appropriate and durable;;Humanitarian
The proportion of the shelter-affected displaced and non-displaced who are involved in planning and implementation including temporary communal settlements by family, neighbourhood or village groups, as appropriate.;;Humanitarian
The proportion of the shelter-affected displaced and non-displaced with adequate access to essential services, including water and sanitation, community facilities, urban and rural livelihoods opportunities.;;Humanitarian
The proportion of the shelter-affected displaced and non-displaced, for which there are defined financial, operational and material resources commitments for reliief, recovery and reconstruction..;;Humanitarian
The proportion of the shelter-affected displaced and non-displaced, whose risks from hazards are managed.;;Humanitarian
The shelter-affected displaced and non-displaced are able to manage their vulnerability to hazards supporting their sustainable recovery.;;Humanitarian
Access to a refuse container which is emptied a minimum of twice per week; and are no more than 100 metres from a communal refuse pit.;;Humanitarian
All facilties are appropriately used and maintained.;;Humanitarian
Appropriate vector control measures in place.;;Humanitarian
Average water use for drinking, cooking, and personal hygiene (litres per person per day).;;Humanitarian
Number and percent of appropriate excreta containment facilities built.;;Humanitarian
Number of hygiene items (cooking, washing and bathing facilities and material) distributed that meet the immediate needs of the community.;;Humanitarian
Spare parts, training and maintenance plans in place.;;Humanitarian
The number of appropriately designed, sized and durable water carrying and water storage containers distributed (with covers).;;Humanitarian
The proportion of affected population that are able to dwell in a health or other risk free environment without the threats caused by water erosion and/or standing water resulting from floods, stormwater runoff and wastewater discharge.;;Humanitarian
The proportion of affected population that are able to dwell in an environment which is uncontaminated by waste and have the means to dispose of their domestic waste conveniently and effectively.;;Humanitarian
The proportion of affected population that have access to hygiene items to ensure personal hygiene, health, dignity and well being.;;Humanitarian
The proportion of affected population who have good, equitable, and safe access to water of sufficient quantity and quality for drinking, cooking, personal and domestic hygiene.;;Humanitarian
The proportion of affected population whose health is protected by the safe management and control, to acceptable levels, of disease vectors without introducing resistance to substances used.;;Humanitarian
Water is palatable and of sufficient quality to be drunk and used for personal and domestic hygiene without causing risk to health.;;Humanitarian
Well planned, built and maintained drainage systems.;;Humanitarian
Zero faecal coliforms per 100ml of water at the point of delivery.;;Humanitarian
Percentage of people reporting an Acute Respiratory Infection in the last 2 weeks;;Water and Sanitation
Number of people participating/trained in a hygiene promotion programme;;Water and Sanitation
Percentage of people (and parents reporting for their children< 36 months of age) with diarrhoea in the last 2 weeks;;Water and Sanitation
Percentage of people with appropriate handwashing behaviour;;Water and Sanitation
Number of households provided with new/improved drinking water;;Water and Sanitation
Percentage of hospitals/health care facilities with a safe drinking water supply;;Water and Sanitation
Percentage of schools with a safe drinking water supply;;Water and Sanitation
Percentage of water supply points for public use (e.g. in schools, hospitals, market places) which are accessible to disabled people;;Water and Sanitation
Proportion of people using an improved drinking water source less than 30 minutes (or 1 km) away.;;Water and Sanitation
Number of new/improved sanitation facilities provided;;Water and Sanitation
Percentage of hospitals and healthcare centres with improved sanitation facilities;;Water and Sanitation
Percentage of households disposing of child faeces (< 36 months of age) in a hygienic manner;;Water and Sanitation
Percentage of people practising open defecation;;Water and Sanitation
Percentage of schools with separate improved sanitation for boys and girls;;Water and Sanitation
Proportion of people using an improved sanitation facility. [Data to be disaggregated for rural, urban / men and women];;Water and Sanitation
